name,ID,tags
Lauki ke kofte,98,bottle gourd  garam masala powd  gram flour  ginger  chilliesvegetarianspicyuttar pradeshnorth
Lauki ki subji,99,bottle gourd  coconut oil  garam masala  ginger  green chilliesvegetarianspicy-1-1
Litti chokha,100,wheat flour  roasted gram flour  tomato  nigella se  chillivegetarianspicybiharnorth
Makki di roti sarson da saag,101,palak  makki atta  mustard green  garam masala  gingervegetarianspicypunjabnorth
Misi roti,102,whole wheat flour  chickpea flour  green chiliesvegetarianspicypunjabnorth
Mushroom do pyaza,103,mushroom  malai  garam masala  ginger  capsicumvegetarianspicypunjabnorth
Mushroom matar,104,canned coconut milk  frozen green pea  wild mushroom  garam masala  tomatoesvegetarianspicypunjabnorth
Naan,105,whole wheat flour  honey  butter  garlicvegetarian-1punjabnorth
Navrattan korma,106,green bean  potato  khus khu  low fat  garam masala powdervegetarianspicyuttar pradeshnorth
Palak paneer,107,cottage chees  palak  cream  garam masala  buttervegetarianspicypunjabnorth
Paneer butter masala,108,paneer  whipping cream  garam masala  cashew nut  buttervegetarianspicypunjabnorth
Paneer tikka masala,109,paneer  greek yogurt  tandoori masala  cream  bell peppervegetarianspicypunjabnorth
Pani puri,110,kala chana  mashed potato  boondi  sev  lemonvegetarianspicy-1-1
Panjeeri,111,nan
Papad,112,urad d  sev  lemon juic  chopped tomatoesvegetarianspicy-1-1
Paratha,113,wheat flour  butter  potato  coriandervegetarianspicypunjabnorth
Pattor,114,arbi ke patt  sesame se  gur  bengal gram flour  imlivegetarianspicyrajasthanwest
Pindi chana,115,fennel  tea bag  tomato  kasuri methi  cinnamonvegetarianspicypunjabnorth
Rajma chaval,116,red kidney bean  garam masala powd  ginger  tomato  mustard oilvegetarianspicy-1north
Rongi,117,garam masala powd  tomato  kasuri methi  cinnamon  mustard oilvegetarian-1punjabnorth
Samosa,118,potato  green pea  garam masala  ginger  doughvegetarianspicy-1-1
Sattu ki roti,119,sattu  atta  dough  fill  mustard oilvegetarianspicybiharnorth
Shahi paneer,120,cottage chees  malai  garam masala  ginger  tomatovegetarianspicypunjabnorth
Shahi tukra,121,rose wat  milk  white bread slic  saffron  almondsvegetariansweettelanganasouth
Vegetable jalfrezi,122,baby corn  french bean  garam masala  ginger  carrotvegetarianspicypunjabnorth
Tandoori Chicken,123,greek yogurt  garam masala  kasuri methi  marinad  mustard oilnon vegetarianspicypunjabnorth
Tandoori Fish Tikka,124,chickpea flour  biryani masala powd  yogurt  fish fillet  green bell peppernon vegetarianspicypunjabnorth
Attu,125,whole wheat flour  arhar d  ginger  kala jeera  green chillivegetarianspicyandhra pradeshsouth
Avial,126,raw banana  elephant foot yam  long bean  tindora  urad dalvegetarianspicykeralasouth
Bisi bele bath,127,split pigeon pea  chana d  urad d  green pea  french beansvegetarianspicykarnatakasouth
Currivepillai sadam ,128,chana d  urad d  fresh coconut  sesame se  curry leavesvegetarianspicytamil nadusouth
Dosa,129,chana d  urad d  whole urad d  blend ric  rock saltvegetarianspicy-1south
Idiappam,130,rice flour  hot wat  grated coconutvegetarianspicytamil nadusouth
Idli,131,split urad d  urad d  idli ric  thick poha  rock saltvegetarianspicy-1south
Kanji,132,carrot  yellow mustard  red chilli  black saltvegetarian-1keralasouth
Kaara kozhambu,133,sesame oil  drumstick  tamarind past  sambar powd  tomatovegetarianspicytamil nadusouth
Keerai kootu,134,moong dal  chana d  spinach  urad d  coconut oilvegetarianspicytamil nadusouth
Keerai masiyal,135,urad d  curry leav  sugar  mustard se  spinachvegetarianspicytamil nadusouth
Keerai sadam,136,green  tomato  mustard se  fenugreek seedsvegetarianspicytamil nadusouth
Keerai poriyal,137,amaranth leav  split urad d  mustard se  grated coconut  red chilivegetarianspicytamil nadusouth
Beef Fry,138,beef  coconut  garam masala  curry leav  green chili  chili powdernon vegetarianspicykeralasouth
Kootu,139,chana d  urad d  potato  bean  peasvegetarianspicytamil nadusouth
Kos kootu,140,moong dal  chana d  cabbag  tamarind  curry leavesvegetarianspicytamil nadusouth
